.,assign,bool,comma,compl,const,div,do,domain,else,emit,eq,float,floatval,geq,gt,id,if,int,intval,lbrace,leq,lparen,lt,minus,mod,mult,not,plus,rand,rbrace,returns,rparen,sc,string,stringval,symtable,while,$,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNSIG,FUNCTION,EMIT,RAND,IF,IFELSE,WHILE,DOWHILE,ASSIGN,OTHERTYPE,DECLIDS,FUNTYPE,PARAMLIST,EXPR,STEPS,BRACESTMTS,BSTMTS,BSTMT,DECLLIST,SOLOSTMT,DECLTYPE,DECLID,BEXPR,AEXPR,FUNCALL,ARGLIST,BOOLS,PLUS,TIMES,SUM,PRODUCT,VALUE,UNARY,CAST
68,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-120,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,sh-121,,,,,,,,,sh-83,sh-84,sh-85,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
69,,r-86,,r-86,,,,r-86,,,,r-86,r-86,,,r-86,,r-86,r-86,,,r-86,,r-86,,,r-86,r-86,,,,,,,r-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-74,,,,sh-122,sh-78,sh-79
71,,r-85,,r-85,,,,r-85,,,,r-85,r-85,,,r-85,,r-85,r-85,,,r-85,,r-85,,,r-85,r-85,,,,,,,r-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,r-99,,,r-99,,,,r-99,r-99,,,r-99,r-99,r-99,r-99,,,r-99,r-99,,r-99,r-99,r-99,r-99,,r-99,r-99,,,r-99,r-99,,,,r-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-74,,,,sh-124,sh-78,sh-79
75,,,r-90,,,,,,,r-90,r-90,,,r-90,r-90,r-90,r-90,,,r-90,r-90,,r-90,sh-69,,,,sh-71,r-90,,,r-90,r-90,,,,r-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-125,,,,,,
76,,,r-92,,,sh-126,,,,r-92,r-92,,,r-92,r-92,r-92,r-92,,,r-92,r-92,,r-92,r-92,sh-127,sh-128,,r-92,r-92,,,r-92,r-92,,,,r-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-129,,,,,
77,,,r-94,,,r-94,,,,r-94,r-94,,,r-94,r-94,r-94,r-94,,,r-94,r-94,,r-94,r-94,r-94,r-94,,r-94,r-94,,,r-94,r-94,,,,r-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,r-101,,,r-101,,,,r-101,r-101,,,r-101,r-101,r-101,r-101,,,r-101,r-101,,r-101,r-101,r-101,r-101,,r-101,r-101,,,r-101,r-101,,,,r-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,r-102,,,r-102,,,,r-102,r-102,,,r-102,r-102,r-102,r-102,,,r-102,r-102,,r-102,r-102,r-102,r-102,,r-102,r-102,,,r-102,r-102,,,,r-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,sh-34,,r-100,,,r-100,,,,r-100,r-100,,,r-100,r-100,r-100,r-100,,,r-100,r-100,sh-130,r-100,r-100,r-100,r-100,,r-100,r-100,,,r-100,r-100,,,,r-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,r-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,r-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
